Department,Département,Committee,Comité,Service Area,Secteur de d'activité,Project,Projet,Total,Expense Type,Reduces Greenhouse Gases?,Réduction des émissions de gaz à effet de serre?,Reduces Greenhouse Gases? - Count,Builds climate resiliency?,Renforcer la résilience climatique?,Builds climate resiliency? - Count,Rate Supported,Category of Capital Program,Catégorie de programme d'immobilisations
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Roads Services,Services des routes,911663 Vehicle & Equipment 2025,911663 Véhicule et équipement des Services des routes (2025)," 1,070 ",Capital, No  ,Non,0, No ,Non,0,,Growth,Croissance
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Roads Services,Services des routes,911664 Roads Equipment Replacement 2025,911664 Remplacement de l'équipement des Services des routes (2025), 220 ,Capital, No  ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Roads Services,Services des routes,911665 Ice-Snow Control and RWIS Technologies 2,911665 Technologies de déneigement et de déglaçage et des SIMR (2025), 326 ,Capital, No  ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Roads Services,Services des routes,911666 Roads Sidewalk Survey,911666 Enquête sur les trottoirs, 450 ,Capital, No  ,Non,0, No ,Non,0,,Service Enhancements,Amélioration du service
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Roads Services,Services des routes,911667 Works Yards Facilities - New Growth Serv,911667 Dépôts d’entretien - Service lié à la croissance," 5,358 ",Capital, No  ,Non,0, No ,Non,0,,Growth,Croissance
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Traffic Services,Service de la circulation,911170 Pedestrian Countdown Signal Prog 24-26,911170 Programme de signaux accessibles pour piétons et de feux piétonniers à décompte de 2024-2026, 676 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No  ,Non,0,,Service Enhancements,Amélioration du service
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Traffic Services,Service de la circulation,911177 LCR Traffic Monitoring System 2024-2026,911177 Renouvellement du cycle de vie 2024-2026 - Système de contrôle, 447 ,Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Traffic Services,Service de la circulation,911178 Advanced Traffic Management Progrm 24-26,911178 Programme avancé de gestion de la circulation 2024-2026, 455 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No  ,Non,0,,Growth,Croissance
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Traffic Services,Service de la circulation,911180 Pedestrian Crossover Program 2024-2026,911180 Projet 2024-2026 de passages pour piétons , 563 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No  ,Non,0,,Service Enhancements,Amélioration du service
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Traffic Services,Service de la circulation,911181 Cycling Safety Program 2024-2026,911181 Programme de la sécurité à bicyclette 2024-2026, 118 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No  ,Non,0,,Service Enhancements,Amélioration du service
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Traffic Services,Service de la circulation,911185 Pedestrian Access-Intersect&Ramp.2024-26,911185 Accès des piétons 2024-2026 ? intersection et rampes, 312 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Traffic Services,Service de la circulation,911670 2025 Pedestrian Safety Evaluation Prog,911670 Programme d'évaluation de la sécurité des piétons de 2025, 428 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No  ,Non,0,,Service Enhancements,Amélioration du service
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Traffic Services,Service de la circulation,911671 2025 New Traffic Control Devices,911671 Nouveaux dispositifs de contrôle de la circulation - 2025," 7,715 ",Capital, No  ,Non,0, No  ,Non,0,,Growth,Croissance
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Traffic Services,Service de la circulation,911672 2025 Safety Improvement Program,911672 Programme d’amélioration de la sécurité - 2025," 1,138 ",Capital, No  ,Non,0, No  ,Non,0,,Growth,Croissance
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Traffic Services,Service de la circulation,911673 2025 Traffic Incident Management,911673 Gestion des incidents de la circulation - 2025, 455 ,Capital, No  ,Non,0, No  ,Non,0,,Growth,Croissance
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Traffic Services,Service de la circulation,911674 2025 Street Lighting Major Replacements,911674 Remplacement d'éléments essentiels de l'éclairage de rues 2025," 2,564 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Traffic Services,Service de la circulation,911675 2025 LCR Traffic Control Signals,911675 Renouvellement du cycle de vie 2025 - Feux de signalisation," 1,896 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Traffic Services,Service de la circulation,911676 2025 Traffic & Pedestrian Safety Enhance,911676 Programme 3 d'amélioration de la circulation routière et piétonnière -initiatives des quartiers 2025," 2,805 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No  ,Non,0,,Service Enhancements,Amélioration du service
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Traffic Services,Service de la circulation,911677 2025 Safer Roads Ottawa,911677 Sécurité des routes Ottawa 2025, 473 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No  ,Non,0,,Service Enhancements,Amélioration du service
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Traffic Services,Service de la circulation,911678 2025 Automated Speed Enforcement Camera,911678 2025 - Installation de caméras de contrôle automatisé de la vitesse," 2,900 ",Capital, No  ,Non,0, No  ,Non,0,,Service Enhancements,Amélioration du service
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Traffic Services,Service de la circulation,911679 2025 Road Safety Action Program,911679 Programme d’action en matière de circulation et de sécurité routière 2025," 18,000 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No  ,Non,0,,Service Enhancements,Amélioration du service
Public Works Department, Services des Travaux Publics ,Transportation Committee,Comité des transports,Transportation Services,Services des transports,910955 2025 New Street Lighting,910955 Programme nouveau de l'éclairage de rue 2025, 250 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Service Enhancements,Amélioration du service
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Agriculture and Rural Affairs Committee,Comité de l’agriculture et des affaires rurales,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",902173 Community Bldg Rural East,902173 Bâtiment communautaire - secteur rural est," 1,415 ",Capital, No ,Non,0, No ,Non,0,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Agriculture and Rural Affairs Committee,Comité de l’agriculture et des affaires rurales,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",903916 Community Bldg Rural West,903916 Bâtiment communautaire - secteur rural ouest, 800 ,Capital, No ,Non,0, No ,Non,0,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",903622 Riverside South Recreation Complex Land,903622 Terrain du complexe récréatif de Riverside-Sud," 9,000 ",Capital, No ,Non,0, No ,Non,0,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",906852 Cultural Facility West Renewal (NCAC),906852 Renouvellement de l'installation culturelle ouest (CACN)," 1,000 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",907842 Riverside South Community Centre,"907842 Centre communautaire 
Riverside sud"," 13,271 ",Capital, No ,Non,0, No ,Non,0,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",908530 Bayswater/Lebreton Street Park,908530 Parc de la rue Bayswater/Lebreton, 72 ,Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",908536 Fernbank District Park - Richcraft,908536 Parc de district de la collectivité de Fernbank, 739 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
